customer_id,month,region,plan_type,channel,segment,monthly_revenue,churn_flag,active_flag,usage_score,support_tickets,failed_payments,cohort_month
CUST_E87A5244CE37,2023-09-01,North America,Enterprise Plus,Direct Sales,Enterprise,9587.02,0,1,0.29,0,0,2023-09-01
CUST_E87A5244CE37,2023-10-01,North America,Enterprise Plus,Direct Sales,Enterprise,9686.52,0,1,0.86,1,1,2023-09-01
CUST_E87A5244CE37,2023-11-01,North America,Enterprise Plus,Direct Sales,Enterprise,9485.51,0,1,0.37,1,0,2023-09-01
CUST_E87A5244CE37,2023-12-01,North America,Enterprise Plus,Direct Sales,Enterprise,9541.24,0,1,0.44,1,0,2023-09-01
CUST_E87A5244CE37,2024-01-01,North America,Enterprise Plus,Direct Sales,Enterprise,9752.85,0,1,0.58,1,0,2023-09-01
CUST_E87A5244CE37,2024-02-01,North America,Enterprise Plus,Direct Sales,Enterprise,9870.84,0,1,0.13,3,0,2023-09-01
CUST_E87A5244CE37,2024-03-01,North America,Enterprise Plus,Direct Sales,Enterprise,9639.49,0,1,0.63,1,0,2023-09-01
CUST_E87A5244CE37,2024-04-01,North America,Enterprise Plus,Direct Sales,Enterprise,9704.66,0,1,0.7,4,0,2023-09-01
CUST_E87A5244CE37,2024-05-01,North America,Enterprise Plus,Direct Sales,Enterprise,9976.47,0,1,0.68,1,0,2023-09-01
CUST_E87A5244CE37,2024-06-01,North America,Enterprise Plus,Direct Sales,Enterprise,9736.2,0,1,0.82,2,0,2023-09-01
CUST_E87A5244CE37,2024-07-01,North America,Enterprise Plus,Direct Sales,Enterprise,9845.83,0,1,0.77,1,0,2023-09-01
CUST_E87A5244CE37,2024-08-01,North America,Enterprise Plus,Direct Sales,Enterprise,9951.91,0,1,0.44,1,0,2023-09-01
CUST_E87A5244CE37,2024-09-01,North America,Enterprise Plus,Direct Sales,Enterprise,9941.62,0,1,0.24,2,0,2023-09-01
CUST_E87A5244CE37,2024-10-01,North America,Enterprise Plus,Direct Sales,Enterprise,10139.25,0,1,0.93,3,0,2023-09-01
CUST_E87A5244CE37,2024-11-01,North America,Enterprise Plus,Direct Sales,Enterprise,10312.19,0,1,0.41,1,0,2023-09-01
CUST_E87A5244CE37,2024-12-01,North America,Enterprise Plus,Direct Sales,Enterprise,10449.54,0,1,0.41,4,0,2023-09-01
CUST_9A4D673052F2,2023-04-01,APAC,Growth,Partner,Mid-Market,1194.38,1,1,0.16,1,0,2023-04-01
CUST_464450D07A6F,2023-02-01,North America,Starter,Direct Sales,SMB,444.05,1,1,0.41,1,1,2023-02-01
CUST_0FA39ABDD058,2023-08-01,North America,Enterprise,Direct Sales,Enterprise,3479.28,0,1,0.77,3,0,2023-08-01
CUST_0FA39ABDD058,2023-09-01,North America,Enterprise,Direct Sales,Enterprise,3541.44,0,1,0.48,1,0,2023-08-01
CUST_0FA39ABDD058,2023-10-01,North America,Enterprise,Direct Sales,Enterprise,3519.25,0,1,0.27,1,0,2023-08-01
CUST_0FA39ABDD058,2023-11-01,North America,Enterprise,Direct Sales,Enterprise,3504.38,0,1,0.89,2,0,2023-08-01
CUST_0FA39ABDD058,2023-12-01,North America,Enterprise,Direct Sales,Enterprise,3547.22,0,1,0.29,1,1,2023-08-01
CUST_0FA39ABDD058,2024-01-01,North America,Enterprise,Direct Sales,Enterprise,3555.07,0,1,0.62,3,0,2023-08-01
CUST_0FA39ABDD058,2024-02-01,North America,Enterprise,Direct Sales,Enterprise,3591.48,0,1,0.28,2,0,2023-08-01
CUST_0FA39ABDD058,2024-03-01,North America,Enterprise,Direct Sales,Enterprise,3567.49,0,1,0.97,1,0,2023-08-01
CUST_0FA39ABDD058,2024-04-01,North America,Enterprise,Direct Sales,Enterprise,3558.47,0,1,0.2,4,0,2023-08-01
CUST_0FA39ABDD058,2024-05-01,North America,Enterprise,Direct Sales,Enterprise,3647.86,0,1,0.71,2,0,2023-08-01
CUST_0FA39ABDD058,2024-06-01,North America,Enterprise,Direct Sales,Enterprise,3590.64,0,1,0.7,1,0,2023-08-01
CUST_0FA39ABDD058,2024-07-01,North America,Enterprise,Direct Sales,Enterprise,3566.61,0,1,0.44,3,0,2023-08-01
CUST_0FA39ABDD058,2024-08-01,North America,Enterprise,Direct Sales,Enterprise,3563.76,0,1,0.62,1,0,2023-08-01
CUST_0FA39ABDD058,2024-09-01,North America,Enterprise,Direct Sales,Enterprise,3493.89,0,1,0.93,4,0,2023-08-01
CUST_0FA39ABDD058,2024-10-01,North America,Enterprise,Direct Sales,Enterprise,3565.58,0,1,0.36,0,0,2023-08-01
CUST_0FA39ABDD058,2024-11-01,North America,Enterprise,Direct Sales,Enterprise,3562.29,0,1,0.88,1,0,2023-08-01
CUST_0FA39ABDD058,2024-12-01,North America,Enterprise,Direct Sales,Enterprise,3595.0,0,1,0.45,0,0,2023-08-01
CUST_0900FADACE72,2024-06-01,EMEA,Enterprise,Direct Sales,Enterprise,5786.67,0,1,0.54,1,0,2024-06-01
CUST_0900FADACE72,2024-07-01,EMEA,Enterprise,Direct Sales,Enterprise,5689.64,0,1,0.61,0,0,2024-06-01
CUST_0900FADACE72,2024-08-01,EMEA,Enterprise,Direct Sales,Enterprise,5785.48,0,1,0.3,0,1,2024-06-01
CUST_0900FADACE72,2024-09-01,EMEA,Enterprise,Direct Sales,Enterprise,5789.23,0,1,0.8,3,0,2024-06-01
CUST_0900FADACE72,2024-10-01,EMEA,Enterprise,Direct Sales,Enterprise,5959.74,0,1,0.34,1,0,2024-06-01
CUST_0900FADACE72,2024-11-01,EMEA,Enterprise,Direct Sales,Enterprise,5938.77,0,1,0.78,1,0,2024-06-01
CUST_0900FADACE72,2024-12-01,EMEA,Enterprise,Direct Sales,Enterprise,5993.53,0,1,0.48,1,0,2024-06-01
CUST_0B2B379285E5,2023-09-01,North America,Enterprise Plus,Marketplace,Enterprise,12348.78,0,1,0.89,2,0,2023-09-01
CUST_0B2B379285E5,2023-10-01,North America,Enterprise Plus,Marketplace,Enterprise,12065.29,0,1,0.18,0,0,2023-09-01
CUST_0B2B379285E5,2023-11-01,North America,Enterprise Plus,Marketplace,Enterprise,12202.2,0,1,0.29,2,0,2023-09-01
CUST_0B2B379285E5,2023-12-01,North America,Enterprise Plus,Marketplace,Enterprise,12287.24,0,1,0.65,1,0,2023-09-01
